P,Dean Kremer ,Tyler Wells ,Kyle Gibson ,Austin Voth ,Kyle Bradish 
RP,Dillon Tate ,Mychal Givens ,Cionel Perez ,Bryan Baker ,Keegan Akin 
CL,Felix Bautista ,- ,- ,- ,- 
C,Adley Rutschman ,James McCann ,- ,- ,- 
1B,Ryan Mountcastle ,Franchy Cordero ,James McCann ,Gunnar Henderson ,Anthony Santander 
2B,Adam Frazier ,Ramon Urias ,Terrin Vavra ,Gunnar Henderson ,- 
3B,Gunnar Henderson ,Ramon Urias ,Terrin Vavra ,- ,- 
SS,Jorge Mateo ,Gunnar Henderson ,Ramon Urias ,Terrin Vavra ,- 
LF,Austin Hays ,Terrin Vavra ,Franchy Cordero ,Kyle Stowers ,Anthony Santander 
CF,Cedric Mullins ,Ryan McKenna ,Kyle Stowers ,Austin Hays ,Terrin Vavra 
RF,Anthony Santander ,Austin Hays ,Franchy Cordero ,Kyle Stowers ,Ryan McKenna 
DH,Kyle Stowers ,Franchy Cordero ,Anthony Santander ,Gunnar Henderson ,Adley Rutschman 
