P,Marcus Stroman ,Jameson Taillon ,Kyle Hendricks ,Justin Steele ,Drew Smyly 
RP,Brad Boxberger ,Rowan Wick ,Michael Rucker ,Erich Uelmen ,Jeremiah Estrada 
CL,Manuel Rodriguez ,Brandon Hughes ,Brad Boxberger ,Mark Leiter Jr. ,- 
C,Tucker Barnhart ,Yan Gomes ,Miguel Amaya ,- ,- 
1B,Matt Mervis ,Patrick Wisdom ,Cody Bellinger ,- ,- 
2B,Nico Hoerner ,Nick Madrigal ,Christopher Morel ,Zach McKinstry ,Miles Mastrobuoni 
3B,Patrick Wisdom ,Zach McKinstry ,Christopher Morel ,Nico Hoerner ,- 
SS,Dansby Swanson ,Nico Hoerner ,Zach McKinstry ,Miles Mastrobuoni ,Christopher Morel 
LF,Ian Happ ,Nelson Velazquez ,Christopher Morel ,Zach McKinstry ,Patrick Wisdom 
CF,Cody Bellinger ,Christopher Morel ,Nelson Velazquez ,Ian Happ ,- 
RF,Seiya Suzuki ,Patrick Wisdom ,Nelson Velazquez ,Zach McKinstry ,Ian Happ 
DH,Nelson Velazquez ,Patrick Wisdom ,Cody Bellinger ,Ian Happ ,Yan Gomes 
