P,Nick Lodolo ,Hunter Greene ,Graham Ashcraft ,Luis Cessa ,Justin Dunn DD
RP,Lucas Sims DD,Buck Farmer ,Ian Gibaut ,Reiver Sanmartin ,Joel Kuhnel 
CL,Alexis Diaz ,Tejay Antone DD,Tony Santillan DD,- ,- 
C,Tyler Stephenson DD,Curt Casali ,Luke Maile ,Chuckie Robinson ,- 
1B,Joey Votto DD,Wil Myers ,Matt Reynolds ,Spencer Steer ,Tyler Stephenson DD
2B,Jonathan India ,Kevin Newman ,Spencer Steer ,Nick Solak ,Alejo Lopez 
3B,Spencer Steer ,Nick Solak ,Alejo Lopez ,Matt Reynolds ,Jose Barrero 
SS,Jose Barrero ,Kevin Newman ,Spencer Steer ,Matt Reynolds ,Alejo Lopez 
LF,Jake Fraley ,TJ Friedl DD,Wil Myers ,Stuart Fairchild ,Nick Solak 
CF,Nick Senzel DD,Mike Siani ,Stuart Fairchild ,TJ Friedl DD,Jake Fraley 
RF,Wil Myers ,Nick Solak ,Jake Fraley ,Matt Reynolds ,Stuart Fairchild 
DH,Nick Solak ,Wil Myers ,Jonathan India ,Jake Fraley ,Joey Votto DD
