P,Shane Bieber ,Triston McKenzie ,Cal Quantrill ,Zach Plesac ,Aaron Civale 
RP,James Karinchak ,Trevor Stephan ,Eli Morgan ,Enyel De Los Santos ,Sam Hentges 
CL,Emmanuel Clase ,- ,- ,- ,- 
C,Mike Zunino DD,Bo Naylor ,- ,- ,- 
1B,Josh Bell ,Gabriel Arias ,Josh Naylor ,Will Benson ,- 
2B,Andres Gimenez ,Gabriel Arias ,Amed Rosario ,- ,- 
3B,Jose Ramirez ,Gabriel Arias ,Andres Gimenez ,- ,- 
SS,Amed Rosario ,Gabriel Arias ,Andres Gimenez ,- ,- 
LF,Steven Kwan ,Will Benson ,Will Brennan ,Amed Rosario ,Oscar Gonzalez 
CF,Myles Straw ,Will Benson ,Will Brennan ,Steven Kwan ,Oscar Gonzalez 
RF,Oscar Gonzalez ,Will Brennan ,Will Benson ,Steven Kwan ,Josh Naylor 
DH,Josh Naylor ,Josh Bell ,Oscar Gonzalez ,Jose Ramirez ,Bo Naylor 
