P,Eduardo Rodriguez ,Matthew Boyd ,Matt Manning ,Michael Lorenzen ,Spencer Turnbull 
RP,Alex Lange ,Jason Foley ,Jose Cisnero ,Will Vest ,Garrett Hill 
CL,Gregory Soto ,- ,- ,- ,- 
C,Eric Haase ,Jake Rogers DD,- ,- ,- 
1B,Spencer Torkelson ,Jonathan Schoop ,Miguel Cabrera ,Andy Ibanez ,Eric Haase 
2B,Jonathan Schoop ,Ryan Kreidler ,Andy Ibanez ,Kody Clemens ,- 
3B,Ryan Kreidler ,Andy Ibanez ,Jonathan Schoop ,Kody Clemens ,- 
SS,Javier Baez ,Ryan Kreidler ,- ,- ,- 
LF,Akil Baddoo ,Kerry Carpenter ,Austin Meadows ,Eric Haase ,Kody Clemens 
CF,Riley Greene ,Akil Baddoo ,Kerry Carpenter ,- ,- 
RF,Austin Meadows ,Kerry Carpenter ,Akil Baddoo ,Riley Greene ,- 
DH,Kerry Carpenter ,Miguel Cabrera ,Jonathan Schoop ,Eric Haase ,Austin Meadows 
