P,Framber Valdez ,Cristian Javier ,Lance McCullers Jr. ,Luis Garcia ,Jose Urquidy 
RP,Rafael Montero ,Hector Neris ,Bryan Abreu ,Ryne Stanek ,Seth Martinez 
CL,Ryan Pressly ,- ,- ,- ,- 
C,Martin Maldonado DD,Korey Lee ,- ,- ,- 
1B,Jose Abreu ,David Hensley ,Yordan Alvarez ,Martin Maldonado DD,- 
2B,Jose Altuve ,Mauricio Dubon ,David Hensley ,- ,- 
3B,Alex Bregman ,Mauricio Dubon ,David Hensley ,- ,- 
SS,Jeremy Pena ,David Hensley ,Mauricio Dubon ,Alex Bregman ,- 
LF,Michael Brantley ,Yordan Alvarez ,Chas McCormick ,Jake Meyers ,Mauricio Dubon 
CF,Chas McCormick ,Jake Meyers ,Mauricio Dubon ,Kyle Tucker ,- 
RF,Kyle Tucker ,Chas McCormick ,Jake Meyers ,Mauricio Dubon ,- 
DH,Yordan Alvarez ,Michael Brantley ,Jose Abreu ,Kyle Tucker ,Jose Altuve 
