P,Brady Singer ,Jordan Lyles ,Daniel Lynch ,Kris Bubic ,Ryan Yarbrough 
RP,Dylan Coleman ,Josh Staumont DD,Amir Garrett ,Taylor Clarke DD,Anthony Misiewicz 
CL,Scott Barlow ,- ,- ,- ,- 
C,Salvador Perez ,MJ Melendez ,Freddy Fermin ,- ,- 
1B,Vinnie Pasquantino ,Hunter Dozier ,Salvador Perez ,- ,- 
2B,Michael Massey ,Nicky Lopez ,Adalberto Mondesi ,Samad Taylor ,- 
3B,Hunter Dozier ,Bobby Witt Jr. ,Nate Eaton ,Adalberto Mondesi ,Nicky Lopez 
SS,Bobby Witt Jr. ,Adalberto Mondesi ,Nicky Lopez ,Michael Massey ,Nate Eaton 
LF,MJ Melendez ,Kyle Isbel ,Hunter Dozier ,Edward Olivares ,Drew Waters 
CF,Michael A. Taylor ,Drew Waters ,Nate Eaton ,Edward Olivares ,Kyle Isbel 
RF,Edward Olivares ,Drew Waters ,Hunter Dozier ,MJ Melendez ,Kyle Isbel 
DH,Edward Olivares ,Hunter Dozier ,Vinnie Pasquantino ,MJ Melendez ,Salvador Perez 
