P,Shohei Ohtani ,Tyler Anderson ,Patrick Sandoval ,Reid Detmers ,Jose Suarez 
RP,Jose Quijada ,Jaime Barria ,Andrew Wantz ,Zack Weiss ,Chris Rodriguez DD
CL,Carlos Estevez ,Jimmy Herget ,Ryan Tepera ,Aaron Loup ,- 
C,Max Stassi ,Logan O'Hoppe ,Matt Thaiss ,- ,- 
1B,Gio Urshela ,Jared Walsh DD,Brandon Drury ,Matt Thaiss ,- 
2B,Brandon Drury ,David Fletcher ,Luis Rengifo ,Michael Stefanic ,Andrew Velazquez DD
3B,Anthony Rendon ,Brandon Drury ,Gio Urshela ,Luis Rengifo ,Michael Stefanic 
SS,Luis Rengifo ,David Fletcher ,Gio Urshela ,Andrew Velazquez DD,Livan Soto 
LF,Taylor Ward ,Jared Walsh DD,Jo Adell ,Mickey Moniak DD,Hunter Renfroe 
CF,Mike Trout ,Mickey Moniak DD,Taylor Ward ,Jo Adell ,Hunter Renfroe 
RF,Hunter Renfroe ,Taylor Ward ,Jo Adell ,Mickey Moniak DD,David Fletcher 
DH,Shohei Ohtani ,Brandon Drury ,Mike Trout ,Taylor Ward ,Hunter Renfroe 
