P,Julio Urias ,Clayton Kershaw ,Tony Gonsolin ,Dustin May ,Noah Syndergaard 
RP,Daniel Hudson DD,Alex Vesia ,Yency Almonte ,Shelby Miller ,Caleb Ferguson 
CL,Brusdar Graterol ,Evan Phillips ,- ,- ,- 
C,Will Smith ,Austin Barnes ,- ,- ,- 
1B,Freddie Freeman ,Miguel Vargas ,Max Muncy ,- ,- 
2B,Chris Taylor ,Gavin Lux ,Mookie Betts ,Miguel Vargas ,Max Muncy 
3B,Max Muncy ,Miguel Vargas ,Gavin Lux ,- ,- 
SS,Gavin Lux ,Chris Taylor ,Jacob Amaya DD,- ,- 
LF,Miguel Vargas ,Chris Taylor ,Trayce Thompson ,Gavin Lux ,- 
CF,Trayce Thompson ,Chris Taylor ,Gavin Lux ,Mookie Betts ,- 
RF,Mookie Betts ,Chris Taylor ,Trayce Thompson ,- ,- 
DH,J.D. Martinez ,Max Muncy ,Will Smith ,Miguel Vargas ,Gavin Lux 
