P,Sandy Alcantara ,Pablo Lopez ,Jesus Luzardo ,Braxton Garrett ,Trevor Rogers DD
RP,Tanner Scott ,Steven Okert DD,Richard Bleier ,Huascar Brazoban ,Tommy Nance 
CL,Dylan Floro ,- ,- ,- ,- 
C,Jacob Stallings ,Nick Fortes ,Austin Allen ,- ,- 
1B,Garrett Cooper DD,Charles Leblanc ,Jordan Groshans ,- ,- 
2B,Jazz Chisholm Jr. ,Jean Segura ,Jon Berti ,Charles Leblanc ,Joey Wendle 
3B,Jean Segura ,Joey Wendle ,Jordan Groshans ,Charles Leblanc ,Jon Berti 
SS,Joey Wendle ,Miguel Rojas ,Jazz Chisholm Jr. ,Jean Segura ,Jon Berti 
LF,Jon Berti ,Bryan De La Cruz ,Jesus Sanchez ,Jorge Soler ,Peyton Burdick 
CF,Bryan De La Cruz ,JJ Bleday ,Jesus Sanchez ,Peyton Burdick ,Jon Berti 
RF,Avisail Garcia ,Jesus Sanchez ,Jorge Soler ,Bryan De La Cruz ,JJ Bleday 
DH,Jorge Soler ,Jesus Sanchez ,Garrett Cooper DD,Nick Fortes ,Avisail Garcia 
