P,Sonny Gray ,Joe Ryan ,Tyler Mahle DD,Bailey Ober ,Kenta Maeda DD
RP,Jorge Lopez ,Griffin Jax ,Caleb Thielbar ,Emilio Pagan ,Jovani Moran 
CL,Jhoan Duran ,- ,- ,- ,- 
C,Christian Vazquez ,Ryan Jeffers ,- ,- ,- 
1B,Alex Kirilloff DD,Jose Miranda ,Luis Arraez ,Kyle Farmer ,- 
2B,Jorge Polanco ,Nick Gordon ,Kyle Farmer ,Luis Arraez ,Royce Lewis DD
3B,Jose Miranda ,Kyle Farmer ,Royce Lewis DD,Luis Arraez ,- 
SS,Royce Lewis DD,Kyle Farmer ,Nick Gordon ,Jorge Polanco ,Luis Arraez 
LF,Joey Gallo ,Trevor Larnach DD,Alex Kirilloff DD,Nick Gordon ,Kyle Garlick 
CF,Byron Buxton DD,Gilberto Celestino ,Royce Lewis DD,Matt Wallner ,Nick Gordon 
RF,Max Kepler ,Joey Gallo ,Matt Wallner ,Kyle Garlick ,Trevor Larnach DD
DH,Luis Arraez ,Byron Buxton DD,Joey Gallo ,Alex Kirilloff DD,Jose Miranda 
