P,Justin Verlander ,Max Scherzer ,Kodai Senga ,Carlos Carrasco ,Jose Quintana 
RP,Adam Ottavino ,David Robertson ,Brandon Berger ,Drew Smith ,Stephen Nogosek 
CL,Edwin Diaz ,- ,- ,- ,- 
C,Omar Narvaez ,Tomas Nido ,Francisco Alvarez ,- ,- 
1B,Pete Alonso ,Darin Ruf ,Daniel Vogelbach ,Eduardo Escobar ,Jeff McNeil 
2B,Jeff McNeil ,Luis Guillorme ,Eduardo Escobar ,Danny Mendick DD,- 
3B,Carlos Correa ,Eduardo Escobar ,Luis Guillorme ,Jeff McNeil ,Mark Vientos 
SS,Francisco Lindor ,Carlos Correa ,Luis Guillorme ,Eduardo Escobar ,Danny Mendick DD
LF,Mark Canha ,Jeff McNeil ,Brett Baty ,Darin Ruf ,Danny Mendick DD
CF,Brandon Nimmo ,Mark Canha ,Starling Marte ,- ,- 
RF,Starling Marte ,Jeff McNeil ,Darin Ruf ,Mark Canha ,Danny Mendick DD
DH,Daniel Vogelbach ,Darin Ruf ,Francisco Alvarez ,Jeff McNeil ,Eduardo Escobar 
