P,Cole Irvin ,Paul Blackburn DD,Ken Waldichuk ,Kyle Muller ,JP Sears 
RP,Zach Jackson DD,Dany Jimenez DD,Trevor May ,A.J. Puk ,Tyler Cyr 
CL,Domingo Acevedo ,- ,- ,- ,- 
C,Shea Langeliers ,Manny Pina ,- ,- ,- 
1B,Seth Brown ,Dermis Garcia ,Ryan Noda ,Jordan Diaz ,Aledmys Diaz 
2B,Aledmys Diaz ,Jordan Diaz ,Jace Peterson ,Tony Kemp ,Jonah Bride 
3B,Jace Peterson ,Jonah Bride ,Aledmys Diaz ,Dermis Garcia ,Jordan Diaz 
SS,Nick Allen ,Aledmys Diaz ,Tony Kemp ,- ,- 
LF,Conner Capel ,Tony Kemp ,Esteury Ruiz ,Seth Brown ,Jace Peterson 
CF,Esteury Ruiz ,Cristian Pache ,Ramon Laureano DD,Seth Brown ,Conner Capel 
RF,Ramon Laureano DD,Conner Capel ,Seth Brown ,Ryan Noda ,Tony Kemp 
DH,Jordan Diaz ,Ryan Noda ,Shea Langeliers ,Seth Brown ,Jonah Bride 
