P,Zack Wheeler ,Aaron Nola ,Taijuan Walker ,Ranger Suarez ,Bailey Falter 
RP,Seranthony Dominguez ,Connor Brogdon ,Andrew Bellatti ,Jose Alvarado ,Matt Strahm 
CL,Craig Kimbrel ,- ,- ,- ,- 
C,J.T. Realmuto ,Garrett Stubbs ,- ,- ,- 
1B,Rhys Hoskins ,Alec Bohm ,Matt Vierling ,Kyle Schwarber ,J.T. Realmuto 
2B,Bryson Stott ,Edmundo Sosa ,Nick Maton ,Dalton Guthrie ,Matt Vierling 
3B,Alec Bohm ,Edmundo Sosa ,Nick Maton ,Matt Vierling ,Bryson Stott 
SS,Trea Turner ,Edmundo Sosa ,Bryson Stott ,Nick Maton ,Dalton Guthrie 
LF,Kyle Schwarber ,Jake Cave ,Nick Maton ,Matt Vierling ,Brandon Marsh 
CF,Brandon Marsh ,Matt Vierling ,Jake Cave ,Dalton Guthrie ,Simon Muzziotti 
RF,Nick Maton ,Matt Vierling ,Jake Cave ,Nick Castellanos ,Dalton Guthrie 
DH,Nick Castellanos ,Kyle Schwarber ,Alec Bohm ,Rhys Hoskins ,J.T. Realmuto 
