P,Roansy Contreras ,Rich Hill ,JT Brubaker ,Mitch Keller ,Vince Velasquez 
RP,Duane Underwood Jr. ,Wil Crowe ,Jarlin Garcia ,Yerry De Los Santos ,Chase De Jong 
CL,David Bednar ,- ,- ,- ,- 
C,Austin Hedges ,Tyler Heineman ,Endy Rodriguez ,- ,- 
1B,Ji-Man Choi ,Carlos Santana ,Connor Joe ,Miguel Andujar ,- 
2B,Rodolfo Castro ,Ji Hwan Bae ,Tucupita Marcano ,- ,- 
3B,Ke'Bryan Hayes ,Rodolfo Castro ,Miguel Andujar ,- ,- 
SS,Oneil Cruz DD,Ji Hwan Bae ,Rodolfo Castro ,Tucupita Marcano ,Liover Peguero 
LF,Jack Suwinski ,Miguel Andujar ,Tucupita Marcano ,Cal Mitchell ,Connor Joe 
CF,Bryan Reynolds ,Ji Hwan Bae ,Travis Swaggerty ,Canaan Smith-Njigba ,Jack Suwinski 
RF,Cal Mitchell ,Jack Suwinski ,Connor Joe ,Canaan Smith-Njigba ,Travis Swaggerty 
DH,Carlos Santana ,Miguel Andujar ,Ji-Man Choi ,Connor Joe ,Oneil Cruz DD
