P,Logan Webb ,Alex Cobb ,Sean Manaea ,Alex Wood ,Ross Stripling 
RP,Taylor Rogers ,Tyler Rogers ,John Brebbia ,Yunior Marte ,Cole Waites 
CL,Camilo Doval ,- ,- ,- ,- 
C,Joey Bart ,Austin Wynns ,Blake Sabol ,- ,- 
1B,Wilmer Flores ,LaMonte Wade Jr. ,J.D. Davis ,David Villar ,Blake Sabol 
2B,Thairo Estrada ,Wilmer Flores ,David Villar ,Isan Diaz ,- 
3B,David Villar ,J.D. Davis ,Wilmer Flores ,Thairo Estrada ,- 
SS,Brandon Crawford ,Thairo Estrada ,Isan Diaz ,- ,- 
LF,Michael Conforto ,Joc Pederson ,Luis Gonzalez DD,Austin Slater ,Mitch Haniger 
CF,Mike Yastrzemski ,Austin Slater ,Heliot Ramos ,Luis Gonzalez DD,LaMonte Wade Jr. 
RF,Mitch Haniger ,Michael Conforto ,LaMonte Wade Jr. ,Austin Slater ,Luis Gonzalez DD
DH,Joc Pederson ,Wilmer Flores ,J.D. Davis ,Mitch Haniger ,Michael Conforto 
