P,Stephen Strasburg DD,Josiah Gray ,Patrick Corbin ,MacKenzie Gore DD,Cade Cavalli DD
RP,Carl Edwards Jr. ,Erasmo Ramirez ,Victor Arano DD,Hunter Harvey ,Mason Thompson 
CL,Kyle Finnegan ,- ,- ,- ,- 
C,Keibert Ruiz DD,Riley Adams ,Israel Pineda ,- ,- 
1B,Joey Meneses ,Ildemaro Vargas ,- ,- ,- 
2B,Ildemaro Vargas ,Luis Garcia ,CJ Abrams ,Jeter Downs DD,- 
3B,Jeimer Candelario ,Carter Kieboom DD,Ildemaro Vargas ,Jeter Downs DD,- 
SS,CJ Abrams ,Luis Garcia ,Ildemaro Vargas ,Jeter Downs DD,- 
LF,Alex Call ,Stone Garrett ,Lane Thomas ,Joey Meneses ,Ildemaro Vargas 
CF,Victor Robles ,Lane Thomas ,Alex Call ,CJ Abrams ,- 
RF,Lane Thomas ,Stone Garrett ,Joey Meneses ,Alex Call ,Ildemaro Vargas 
DH,Luis Garcia ,Joey Meneses ,Riley Adams ,Lane Thomas ,CJ Abrams 
