Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,RunLine,,OpenOU,,CloseOU,
407,969,V,MIL,CBURNES,0,0,0,1,0,0,2,1,0,4,-150,-172,-1.5,-115,10.5,-120,9,-120
407,970,H,CUB,KHENDRICK,0,0,0,0,3,0,2,0,x,5,130,161,1.5,-105,10.5,100,9,100
407,971,V,NYM,TMEGILL,0,0,0,0,2,2,1,0,0,5,-135,-116,-1.5,130,9,-110,9,-125
407,972,H,WAS,PCORBIN-L,0,0,0,0,0,1,0,0,0,1,115,106,1.5,-150,9,-110,9,105
407,973,V,PIT,JBRUBAKER,0,0,0,0,0,0,0,0,0,0,175,145,1.5,-140,8,-105,8,105
407,974,H,STL,AWAINWRIG,1,3,0,0,0,1,0,4,x,9,-210,-155,-1.5,120,8,-115,8,-125
407,975,V,CIN,TMAHLE,0,1,2,0,0,3,0,0,0,6,180,161,1.5,-130,8,-120,8.5,-105
407,976,H,ATL,MFRIED-L,0,0,1,0,0,0,0,2,0,3,-220,-172,-1.5,110,8,100,8.5,-115
407,977,V,SDG,YDARVISH,0,0,1,1,0,0,0,0,0,2,-165,-135,-1.5,115,8.5,-120,9,-115
407,978,H,ARI,MBUMGARNE-L,0,0,0,0,0,0,0,0,4,4,140,125,1.5,-135,8.5,100,9,-105
407,981,V,CLE,SBIEBER,0,0,0,1,0,0,0,0,0,1,-125,-115,-1.5,135,8,-120,7.5,100
407,982,H,KAN,ZGREINKE,0,0,0,0,1,0,0,2,x,3,105,105,1.5,-155,8,100,7.5,-120
407,985,V,HOU,FVALDEZ-L,0,0,1,0,0,0,0,2,0,3,100,110,1.5,-180,8.5,100,8.5,-125
407,986,H,LAA,SOHTANI,0,0,0,0,0,0,0,1,0,1,-120,-120,-1.5,160,8.5,-120,8.5,105
408,911,V,LAD,WBUEHLER,0,0,0,5,0,0,0,0,0,5,-210,-205,-1.5,-135,11.5,-110,11.5,100
408,912,H,COL,KFREELAND-L,0,2,0,0,0,0,0,0,1,3,175,185,1.5,115,11.5,-110,11.5,-120
408,913,V,MIA,SALCANTAR,0,0,0,0,0,0,2,0,3,5,115,134,1.5,-170,7,-120,7.5,105
408,914,H,SFO,LWEBB,0,0,2,0,1,0,0,1,1,6,-135,-144,-1.5,150,7,100,7.5,-125
408,915,V,NYM,MSCHERZER,0,0,1,2,1,2,0,0,1,7,-160,-155,-1.5,100,9.5,-105,8.5,-120
408,916,H,WAS,JGRAY,0,1,0,2,0,0,0,0,0,3,135,145,1.5,-120,9.5,-115,8.5,100
408,917,V,CIN,RSANMARTI-L,0,0,0,0,1,2,0,0,3,6,165,168,1.5,-125,9,-120,9,105
408,918,H,ATL,CMORTON,0,2,5,0,0,0,0,0,x,7,-195,-183,-1.5,105,9,100,9,-125
408,919,V,SDG,SMANAEA-L,0,0,0,0,0,2,0,1,0,3,-150,-138,-1.5,115,9,-115,9,100
